1,2,3
Screen_Name,Screen_Name,Screen_Name
narendramodi,RahulGandhi,sardesairajdeep
sardesairajdeep,AmitShah,EncapsulatdSoul
asadowaisi,sardanarohit,ConstantinoX
sambitswaraj,BDUTT,MYaskhi
EncapsulatdSoul,arunjaitley,YusufDFI
yogrishiramdev,yadavakhilesh,AmyKazmin
ConstantinoX,jigneshmevani80,KhurafatiChopra
MYaskhi,DrGPradhan,hussainme2
YusufDFI,sanjivbhatt,Aabhas24
RahulGandhi,KanchanGupta,Subodhk85397578
Chellaney,sardesairajdeep,OottoOman
AmyKazmin,iAnkurSingh,d_extrovert
KhurafatiChopra,ZaidZamanHamid,Ajaybhan9
hussainme2,TVMohandasPai,MonaAmbegaonkar
Swamy39,SushantBSinha,UmaKantPandey_
Aabhas24,khanumarfa,allindiamep
nitin_gadkari,ARanganathan72,AnthonySald
Subodhk85397578,digvijaya_28,Swamy39
OottoOman,ShashiTharoor,kiran_patniak
AmitShah,sanjaynirupam,Daniyal_views
d_extrovert,fayedsouza,Mausam1975
Ajaybhan9,GauravGogoiAsm,Jitende15845790
MonaAmbegaonkar,MrsGandhi,Meerasrini
nagarjund,SChaudhary_,Angelauyi
nsitharaman,dhaval241086,priyaakulkarni2
nehasamee11,rahulkanwal,GudduKumarm2272
UmaKantPandey_,rahulroushan,iKamranShahid
rahulkanwal,nitin_gadkari,mvmeet
b_k70,vivekagnihotri,smritikak
kiran_patniak,rishibagree,SUNDARmyth
YourGalNeha,YRDeshmukh,DrNageshThakur
NikhilkumarIAS,nehasamee11,Anjmeh
Jagana_JK,dunyamaumoon,SNiranjansahoo
SameerS54983997,AshwiniBJP,vijaydmastu
AmarUjalaNews,MaheshJoshi_MJ,colkt
fhollande,srivatsayb,KennyTulsiani1
JaganNKaushik,ansarraza16,manishkayal
MaheshJoshi_MJ,Pulippaani,AgriFoodRetail
SNiranjansahoo,syedKashaf95,AbdulRehmanSay
geetv79,YourGalNeha,hkvdesaihemant
AshishSinghLIVE,MYaskhi,mjakbar
