1,2,3
Screen_Name,Screen_Name,Screen_Name
narendramodi,narendramodi,narendramodi
LegalKant,RahulGandhi,LegalKant
manojkjhadu,AmitShah,manojkjhadu
RahulGandhi,ShivAroor,DilliDurAst
DilliDurAst,SenSanders,mvmeet
mvmeet,ArvindKejriwal,GauravPandhi
Swamy39,divyaspandana,effucktivehumor
GauravPandhi,sambitswaraj,ConstantinoX
effucktivehumor,sardesairajdeep,Mausam1975
ConstantinoX,iamhamzaabbasi,priyaakulkarni2
Jagana_JK,ShashiTharoor,RoshanKrRai
Mausam1975,Ram_Guha,Swamy39
priyaakulkarni2,LeoDiCaprio,ifra_jan
RoshanKrRai,ShefVaidya,CTRavi_BJP
MohamedNasheed,sanjivbhatt,LillyMaryPinto
ifra_jan,KanchanGupta,arunmsk
CTRavi_BJP,sardanarohit,profwolff
AnthonySald,vivekagnihotri,Rudra_Aksh09
arunmsk,TajinderBagga,BashirAhmadPak
LillyMaryPinto,akashbanerjee,AunindyoC
priyankac19,abhisar_sharma,kukk44
VazeIndian,Shehzad_Ind,MinhazMerchant
Puneetvizh,mvmeet,iam_anandv
SifatiAhad,KTRTRS,MaheshJoshi_MJ
Tamil1947,ippatel,SreenivasanJain
profwolff,narendramodi_in,Chandrabosebjp
priyapyadav18,rishibagree,cjwerleman
DickDarryl,SMQureshiPTI,nida_alin143
Kanwal33,Atheist_Krishna,jaiprakashshah2
b_k70,_YogendraYadav,krporeddy
Rudra_Aksh09,JhaSanjay,ArifCRafiq
NikhilkumarIAS,MGNTheTwin,YourGalNeha
MinhazMerchant,muglikar_,jagdishshetty
AunindyoC,Prof_Hariom,Satyanewshi
BashirAhmadPak,NaeemBokharii,avarakai
kukk44,madhukishwar,sayantanbera
iam_anandv,smitabarooah,Jagana_JK
MaheshJoshi_MJ,bainjal,Daniyal_views
jaijain83,Sunitagupta__,Deepaksmg18121
radhikabordia,ArtiSharma001,rahulsharmacong
AmitShah,AMIT_GUJJU,RamPrakashChow2
Mayavi101,manojkjhadu,MilanV
SreenivasanJain,squintneon,RokkamRavindra
JaganNKaushik,DrGPradhan,UmaKantPandey_
Chandrabosebjp,burnolwalli,suhasinih
cjwerleman,KlasraRauf,salma260588259
