1,2,3
Screen_Name,Screen_Name,SCreen_Name
sankrant,RahulGandhi,sankrant
dhaval241086,AmitShah,dhaval241086
ChouhanShivraj,RakeshSinha01,sushmitadevmp
sushmitadevmp,yadavtejashwi,Prof_Hariom
Prof_Hariom,arunjaitley,juhiesingh
juhiesingh,Swamy39,DrGPradhan
DrGPradhan,ippatel,Janamejayan
Janamejayan,ShefVaidya,sachin_inc
narendramodi,AmyMek,kiran_patniak
ShashiTharoor,AskAnshul,TVMohandasPai
Swamy39,chathootti,saket71
sachin_inc,sgurumurthy,manishpant22
kiran_patniak,soniandtv,Ranjan_GogoiCJI
TVMohandasPai,Ravishtweets_,AjaySengupta3
sgurumurthy,HimaDas8,khanumarfa
saket71,Kuvalayamala,nallaganesh
Ranjan_GogoiCJI,ShashiTharoor,harshkkapoor
manishpant22,saket71,SmitaMukerji
YourGalNeha,thekiranbedi,ThinkersPad
AjaySengupta3,kavita_krishnan,iMac_too
waglenikhil,tavleen_singh,rajalakshmij
khanumarfa,ggiittiikkaa,iamnikhilnanda
RahulGandhi,SalmanSoz,alokpi
harshkkapoor,Airavta,AMerukar
nallaganesh,nidhiparmar,rubusmubu
SmitaMukerji,sushmitadevmp,ashwinmahesh
ThinkersPad,szarabi,MPRakeshSingh
iMac_too,geetv79,amritabhinder
rajalakshmij,Prof_Hariom,sankarchanda99
iamnikhilnanda,RenukaJain6,VivanMarwaha
ShefVaidya,sankrant,audit_modi
Rajeev_Bhargava,deepsealioness,ArnieTiny
KPadmaRani1,ZaidZamanHamid,simplykashif
AMerukar,ielvisgomes,ATHREYAG
alokpi,prafullaketkar,VimalRavishank1
mehartweets,DrGPradhan,ShefVaidya
amritabhinder,RoshanKrRai,VividBharthi
rubusmubu,juhiesingh,smritikak
Praveen_Dalal,HusnaPervez,pranasutra
arunjaitley,Ranjan_GogoiCJI,DesiNietzsche
asadowaisi,kiran_patniak,syedKashaf95
MPRakeshSingh,mekalapugazh,trehan_barkha
ashwinmahesh,MPRakeshSingh,gbahadur
VivanMarwaha,RituRathaur,Jitende15845790
SushmaSwaraj,_YogendraYadav,AnilShiroleBJP
PankajT04765688,sachin_inc,karurvnmohan
M_PRACHA,NazemNaqvi,anand_ami
sankarchanda99,RahulEaswar,sunilddesai
anand_ami,ChandFeku,vijayrpandey
deepakkelamane,AudreyTruschke,edanderson101
VimalRavishank1,VinayDokania,wary02527726
AmitShah,RJAadhi,Joganiya_
NotNewToAny1,Janamejayan,Mausam1975
isai_,AahmedBinQasim,shitijsrivastav
